NU_ANO_CENSO;NO_REGIAO;CO_REGIAO;NO_UF;SG_UF;CO_UF;NO_MUNICIPIO;CO_MUNICIPIO;NO_REGIAO_GEOG_INTERM;CO_REGIAO_GEOG_INTERM;NO_REGIAO_GEOG_IMED;CO_REGIAO_GEOG_IMED;NO_DISTRITO;CO_DISTRITO;NO_SUBDISTRITO;CO_SUBDISTRITO;NO_ENTIDADE;CO_ENTIDADE;CO_REDE;TP_DEPENDENCIA;TP_CATEGORIA_ESCOLA_PRIVADA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;IN_PODER_PUBLICO_PARCERIA;TP_PODER_PUBLICO_PARCERIA;NO_AREA_CURSO_PROFISSIONAL;ID_AREA_CURSO_PROFISSIONAL;NO_CURSO_EDUC_PROFISSIONAL;CO_CURSO_EDUC_PROFISSIONAL;QT_CURSO_TEC;QT_MAT_CURSO_TEC;QT_CURSO_TEC_IFTP;QT_MAT_CURSO_TEC_IFTP;QT_CURSO_TEC_IFTP_MT;QT_MAT_CURSO_TEC_IFTP_MT;QT_CURSO_TEC_IFTP_OTME;QT_MAT_CURSO_TEC_IFTP_OTME;QT_CURSO_TEC_IFTP_OE;QT_MAT_CURSO_TEC_IFTP_OE;QT_CURSO_TEC_NM;QT_MAT_CURSO_TEC_NM;QT_CURSO_TEC_CONC;QT_MAT_CURSO_TEC_CONC;QT_CURSO_TEC_SUBS;QT_MAT_CURSO_TEC_SUBS;QT_CURSO_TEC_IFTP_CT;QT_MAT_CURSO_TEC_IFTP_CT;QT_CURSO_TEC_EJA;QT_MAT_CURSO_TEC_EJA
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;FORTEC ESCOLA TECNICA;35175024;2;4;1;1;0;0;;Infraestrutura;7000;Edificações;7085;1;37;0;0;0;0;0;0;0;0;0;0;1;2;1;35;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;FORTEC ESCOLA TECNICA;35175024;2;4;1;1;0;0;;Segurança;13000;Segurança do Trabalho;13182;1;50;0;0;0;0;0;0;0;0;0;0;1;1;1;49;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;POLITECNICA DE CUBATAO CIEN ESCOLA;35250961;2;4;1;1;0;0;;Ambiente e saúde;1000;Enfermagem;1006;1;174;0;0;0;0;0;0;0;0;0;0;1;144;1;30;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;POLITECNICA DE CUBATAO CIEN ESCOLA;35250961;2;4;1;1;0;0;;Ambiente e saúde;1000;Outros - Eixo Ambiente e Saúde;1999;1;13;0;0;0;0;0;0;0;0;0;0;0;0;1;13;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;POLITECNICA DE CUBATAO CIEN ESCOLA;35250961;2;4;1;1;0;0;;Segurança;13000;Segurança do Trabalho;13182;1;53;0;0;0;0;0;0;0;0;0;0;1;53;0;0;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;IVANILDO REBOUCAS DA SILVA ESCOLA TECNICA DE MUSICA E DANCA;35257000;1;3;;1;0;0;;Produção cultural e design;10000;Canto;10132;1;158;0;0;0;0;0;0;0;0;0;0;1;20;1;138;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;IVANILDO REBOUCAS DA SILVA ESCOLA TECNICA DE MUSICA E DANCA;35257000;1;3;;1;0;0;;Produção cultural e design;10000;Dança;10136;1;39;0;0;0;0;0;0;0;0;0;0;1;25;1;14;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;IVANILDO REBOUCAS DA SILVA ESCOLA TECNICA DE MUSICA E DANCA;35257000;1;3;;1;0;0;;Produção cultural e design;10000;Instrumento Musical (nome do instrumento);10144;1;197;0;0;0;0;0;0;0;0;0;0;1;35;1;162;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;IVANILDO REBOUCAS DA SILVA ESCOLA TECNICA DE MUSICA E DANCA;35257000;1;3;;1;0;0;;Produção cultural e design;10000;Regência;10153;1;23;0;0;0;0;0;0;0;0;0;0;1;1;1;22;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;ETEC DE CUBATAO;35390896;1;2;;1;0;0;;Ambiente e saúde;1000;Meio Ambiente;1016;1;160;1;112;1;112;0;0;0;0;0;0;1;14;1;34;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;ETEC DE CUBATAO;35390896;1;2;;1;0;0;;Gestão e negócios;4000;Administração;4050;1;215;1;118;1;118;0;0;0;0;0;0;1;18;1;79;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;ETEC DE CUBATAO;35390896;1;2;;1;0;0;;Gestão e negócios;4000;Contabilidade;4053;1;21;0;0;0;0;0;0;0;0;0;0;1;1;1;20;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;ETEC DE CUBATAO;35390896;1;2;;1;0;0;;Gestão e negócios;4000;Logística;4056;1;213;1;114;1;114;0;0;0;0;0;0;1;18;1;81;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;ETEC DE CUBATAO;35390896;1;2;;1;0;0;;Gestão e negócios;4000;Recursos Humanos;4059;1;74;1;74;1;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;ETEC DE CUBATAO;35390896;1;2;;1;0;0;;Informação e comunicação;6000;Informática;6073;1;141;1;78;1;78;0;0;0;0;0;0;1;25;1;37;1;1;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;WALDOMIRO MARIANI PROFESSOR;35474873;1;2;;1;0;0;;Gestão e negócios;4000;Administração;4050;1;49;1;49;1;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;WALDOMIRO MARIANI PROFESSOR;35474873;1;2;;1;0;0;;Gestão e negócios;4000;Logística;4056;1;21;1;21;1;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;IFSP - CAMPUS CUBATAO;35923242;1;1;;1;0;0;;Controle e processos industriais;3000;Automação Industrial;3036;1;97;0;0;0;0;0;0;0;0;0;0;1;26;1;71;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;IFSP - CAMPUS CUBATAO;35923242;1;1;;1;0;0;;Informação e comunicação;6000;Informática;6073;1;309;1;309;1;309;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;IFSP - CAMPUS CUBATAO;35923242;1;1;;1;0;0;;Turismo, hospitalidade e lazer;5000;Eventos;5068;1;147;1;147;1;147;0;0;0;0;0;0;0;0;0;0;0;0;0;0
